DATAFLOW,LAST UPDATE,freq,purchase,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Total,"Annual average index, 2015=100",Bulgaria,2010,105.81,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Total,"Annual average index, 2015=100",Bulgaria,2011,99.98,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Total,"Annual average index, 2015=100",Bulgaria,2012,98.07,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Total,"Annual average index, 2015=100",Bulgaria,2013,95.92,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Total,"Annual average index, 2015=100",Bulgaria,2014,97.29,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Total,"Annual average index, 2015=100",Bulgaria,2015,100.00,b,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Total,"Annual average index, 2015=100",Bulgaria,2016,107.02,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Total,"Annual average index, 2015=100",Bulgaria,2017,116.30,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Total,"Annual average index, 2015=100",Bulgaria,2018,123.96,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Total,"Annual average index, 2015=100",Bulgaria,2019,131.42,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Total,"Annual average index, 2015=100",Bulgaria,2020,137.41,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Total,"Annual average index, 2015=100",Bulgaria,2021,149.33,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Total,"Annual average index, 2015=100",Bulgaria,2022,169.92,b,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Total,"Annual average index, 2015=100",Bulgaria,2023,186.67,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Total,"Annual average index, 2015=100",Bulgaria,2024,217.47,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Total,"Annual average index, 2015=100",Bulgaria,2025,249.23,p,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Total,"Annual average index, 2015=100",Cyprus,2005,97.06,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Total,"Annual average index, 2015=100",Cyprus,2006,108.57,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Total,"Annual average index, 2015=100",Cyprus,2007,121.32,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Total,"Annual average index, 2015=100",Cyprus,2008,128.17,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Total,"Annual average index, 2015=100",Cyprus,2009,119.76,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Total,"Annual average index, 2015=100",Cyprus,2010,112.90,,
